"word","pos","hyphenation","ethymology","meaning"
"fórum","podstatné jméno","fó-rum","Odvozeno z latinského forum — „tržiště, otevřený, veřejný prostor“, jež vyšlo z protoindoevropského kořene *dhwer-, odkud i české dveře.","1) veřejnosti otevřená beseda či diskusní setkání 2) struktura umožňující veřejnou diskusi 3)  tržiště, náměstí"
"fotr","podstatné jméno","fo-tr","Z německého Vater.","1)  otec 2)  muž, chovající se na svůj věk nadmíru usedle, pohodlně či paternalisticky"
"frajer","podstatné jméno","fra-jer","Z německého Freier „záletník, frejíř“, od slovesa freien, s nímž je příbuzné také Freitag, anglické Friday a české příjice.","1)  naparáděný vyzývavý muž 2)  milenec, nápadník 3)  nebojácný obdivovaný muž"
"fraktura","podstatné jméno","frak-tu-ra","Z latinského fractura.","1) zranění kosti, při kterém dochází k]] [[narušení její celistvosti; zlomenina 2) druh lomeného písma"
"frapantní","přídavné jméno","fra-pant-ní","Z francouzského frappant téhož významu, které je vlastně participiem slovesa frapper.","1) (skutek, chování) takový, který bije do očí, velmi nápadný, jednoznačný, který nelze zpochybnit 2) překvapivý, velmi překvapující"
"fundace","podstatné jméno","fun-da-ce","Z latinského fundatio – založení","1) nadace, fond 2) založení"
"funkce","podstatné jméno","fun-kce","Z (novo)latinského functiō, což je deverbativum slovesa fungī — zastávat, provádět; užívat (si).","1) činnost, kterou něco typicky vykonává 2) úřad, pozice spojená nějakou činností 3)  zobrazení jednoznačně přiřazující číslo nebo vektor 4) (programování) podprogram, úsek kódu, který lze opakovaně volat a]] vykonává určitou činnost"
"futro","podstatné jméno","fu-t-ro","Význam „zárubeň“ pochází z německého Thürfutter. Význam „podšívka“ pochází z německého Futter.","1)  dveřní či okenní rám 2)  spodní látka oděvu"
"galantní","přídavné jméno","ga-lant-ní","Přes němčinu z francouzského galant téhož významu, ve starofrancouzštině znamenajícího „veselý, živý“; doloženo k roku 1318. Zde vzniklo jako přechodník přítomný zaniklého slovesa galer „veselit se“, jež bylo nejspíše odvozeno od franského wala — „dobře“.","1)  chovající se v]] pravidly společenského chování, pozorný k]] [[ostatním 2) projevující zdvořile svůj milostný cit"
"gauč","podstatné jméno","gauč","Z anglického couch.","1) širší pohovka opěradly, na které lze i]] [[spát 2) souprava dvou válců u]] nich"
"gen","podstatné jméno","gen","Slovo Gen vytvořil v němčině roku 1905 dánský botanik na základě řeckého slova genea — ""generace; rasa"", jež obsahuje protoindoevropský kořene *gene- „vytvářet, plodit, porodit“.","1)  úsek molekuly DNA, nesoucí dědičné informace o]] organizmu 2)   dědičné předpoklady pro určitou činnost"
"gestapo","podstatné jméno","ge-s-ta-po","Z německého Gestapo, zkráceného názvu Geheime Staatspolizei — tajná státní policie","1) tajná státní policie nacistickém Německu 2) příslušníci gestapa (1)"
"golf","podstatné jméno","golf","Název sportu byl převzat z angličtiny, kde je doložen k roku 1457; slovo bylo přejato ze skotského gouf, obměny nizozemského colf, colve — „hůl, pálka“, z protogermánského *kulth-.","1) druh individuálního sportu, při němž je cílem přemístit pomocí speciální hole míček po travnatém hřišti skrze soustavu jamek 2)  rozlehlý mořský záliv"
"granát","podstatné jméno","gra-nát","Z latinského granatus ve významu zrnitý. Drahokamu se tak začalo říkat pravděpodobně podle barvy granátového jablka. Slovo granát jako zbraň (tříštivá střela) bylo utvořeno metaforicky podle granátového jablka, kterému se podobá tvarem i strukturou — uvnitř připomíná zrna jaderníku.","1) granátové jablko 2) dřevina plodící granátová jablka 3) tmavě červený drahokam 4) druh černého piva 5) střela vybuchující při dopadu"
"grázl","podstatné jméno","grá-zl","* Odvozeno od jména loupežníka Johanna Grasela .","1)  špatný, zlý člověk 2) vulgární nadávka"
"guláš","podstatné jméno","gu-láš","Odvozeno přes rakousko-německé Gulasch zkrácením z maďarského gulyas hús.","1) pokrm kousků masa dušeného na cibulce paprikou 2)  zmatek"
"gymnastika","podstatné jméno","gym-nas-ti-ka","Z řeckého γυμνάσια (gymnásia, „tělesná cvičení“), odvozené od γυμνός (gymnós, „nahý“).","1) tělesná cvičení usilující o]] [[všeobecný rozvoj 2) sportovní disciplína založená na tělesných cvičeních 3)  cvičení duševních schopností"
"hacienda","podstatné jméno","ha-cien-da","Odvozeno ze španělského hacienda — „usedlost s pozemky, plantáž“ jež vzniklo neúmyslnou záměnou počáteční souhlásky f z dřívějšího, původně latinského facienda — „věci, které je potřeba udělat“, jež je tvarem slovesa facere — „dělat“.","1)  venkovský dům resp. statek 2)  chalupa, chata"
"hambalek","podstatné jméno","ham-ba-lek","Z německého Hahnbalken, složeniny slov Hahn a Balken.","1) vodorovný trám spojující protilehlé krokve 2) prostor nad těmito (1) trámy 3) bidlo na sušení 4) druh tance"
"havěť","podstatné jméno","ha-věť","* Z praslovanského *gavědъ, souvisí snad s ohavný. Rejzek navrhuje jako indoevropské východisko kmen *gwēd-, zároveň však jej problematizuje fonologicky. Příbuzné např. s polským gawiedź téhož významu.","1) drobní živočichové, zejména studenokrevní a bezobratlí, jako např. hadi, žáby a okem viditelný hmyz 2)  sebranka, skupina lidí, kterými mluvčí z nějakého důvodu opovrhuje nebo mu připadají obtížní 3)  malé děti"
"hédonismus","podstatné jméno","hé-do-ni-s-mus","Z řeckého hédoné, potěšení, slast.","1) filozofický směr antickém Řecku spatřující životní cíl v]] požitcích 2)  užívání si slastí a]] [[rozkoší"
"hejtman","podstatné jméno","hejt-man","Z německého Hauptmann.","1) krajský hejtman (Česku) 2) úředník nebo politik stojící čele (např. správního úřadu, země, léna, panství, hradu) 3) důstojnická hodnost rakousko-uherské armádě 4) vůdce, zejména vojenský"
"helium","podstatné jméno","he-lium","* z latinského helium","1) chemický prvek, vzácný plyn atomovým číslem 2 a chemickou značkou He 2) (přeneseně) atom helia (1)"
"hélium","podstatné jméno","hé-lium","* z latinského helium","1) chemický prvek 2) (přeneseně) atom hélia"
"hetéra","podstatné jméno","he-té-ra","Z řečtiny.","1) (v antice) vznešená samostatná žena 2) (v antice) družka, vznešená milenka 3)  družka, společnice 4)  nevěstka"
"hezký","přídavné jméno","hez-ký","Jen české. Vykládá se z praslovanského *gъd-jь-kъ(jь), tedy od oslabené varianty kořene *god-, který je v hodný a hodit se (srovn. i heslo. Původně tedy asi vhodný, srovnává se s ruským пригожий (prigóžij) 'vhodný, hezký'.","1) vyvolávající příjemné vizuální vjemy 2)  značný"
"hlava","podstatné jméno","hla-va","Z prabaltoslovanského *galwā, přes praslovanské *golva. Porovnej s jihoslovanskými jazyky — slovinským, srbochorvatským a makedonským glava; s východoslovanskými jazyky — ruským a ukrajinským голова (golova), a konečně se západoslovanskými jazyky — slovenským hlava, polským, kašubským a dolnolužickým głowa a hornolužickým hłowa. Vzhledem k blízké příbuznosti slovanských a baltských jazyků lze nalézt jistou podobnost i v litevském a lotyšském galva či v pruském gallū a galwo.","1) část těla spojená s]] [[trupem krkem 2)  centrum myšlení 3) život 4) žijící člověk jako statistická kategorie 5) člověk čele organizace 6) věc podobající se hlavě 7) oddíl knihy 8) část spalovacího motoru 9) keř vinné révy na vinici 10) část hrabí, nesoucí zuby"
"hlediště","podstatné jméno","hle-di-š-tě","Utvořeno od slovesa hledět","1) část divadelního sálu vyhrazená pro diváky představení 2)  diváci resp. posluchači [[v]] hledišti (1)"
"hmota","podstatné jméno","hmo-ta","Ze staročeského homota („látka, hmota“ ale i „vlhkost v těle“). Nepříliš jasné, stejný význam má jen slovinské gomóta („hmota, masa“), možná vychází z kořene *gom- u praslovanského *gomola („hrouda“), z něhož pochází i české slovo homole. Gebauer naproti tomu zastával názor, že vzešlo z latinského humectus („vlhký“) a hlásková podobnost s hmatati vedla k posunutí významů.","1) podstata živé neživé přírody, vše, co má hmotnost 2) (užší význam) látka, níž se něco vyrábí 3)  (fyzikálně) hmotnost 4)  protiklad ducha 5)  občanské právo hmotné"
"hodný","přídavné jméno","hod-ný","Staročeské 'vhodný, způsobilý', což byl i původní význam (srovn. staroslověnské годьнъ (godьnъ) 'vhodný, příjemný'.) Dále viz hoditi se.","1) mající dobré povahové vlastnosti 2) chovající se požadovaným způsobem 3)  zasluhující (něco)"
"hoch","podstatné jméno","hoch","Vzniklo jako expresivní domácká zkrácenina starších výrazů holobrádek, holeček, holec, holomúdec, odvozených ze slova holý, a označujících mladé muže bez vousů.","1) mladý muž 2) hoch (1), který je milostném vztahu 3)  muž"
"holič","podstatné jméno","ho-lič","Kmen slovesa holit + přípona -ič.","1) ten, kdo jinému za úplatu holí vousy 2) v]] toho, kdo stříhá vlasy"
"holka","podstatné jméno","hol-ka","Od slova holý, dříve tento výraz označoval jen dívku bez pubického ochlupení; obdobně se z holec vyvinulo slovo hoch.","1)  dívka, mladá žena 2) přítelkyně"
"hora","podstatné jméno","ho-ra","Ze starořeckého ὥρα.","1) výrazná vyvýšenina povrchu země s]] vystupujícím nad okolí 2)  velké množství 3)  les, lesy 4)  vinice, vinohrad 5)  místo, kde se těží"
"horní","přídavné jméno","hor-ní","Spojením kořene ze slova hora a přípony -ní.","1) nacházející se nahoře 2) (přeneseně) mající velký majetek nebo moc 3) související s]] [[hornictvím"
"hořčice","podstatné jméno","hoř-či-ce","Od slova hořký (podle chuti semen), všeslovanské.","1) rod rostlin (Sinapis) čeledi brukvovitých 2) pasta ze semen hořčice (1) používaná pro dochucování pokrmů"
"hosana","podstatné jméno","ho-sa-na","Z hebrejského הוֹשַׁע נָא nebo z הוֹשִׁיעָה נָא ve významu pomoz, prosím přes latinu (hosanna, hosianna) a řečtinu.","1)  liturgická formule vyjadřující oslavu 2)  provolávání slávy 3)  projev radosti 4)  prosebné volání"
"hospic","podstatné jméno","ho-s-pic","Z latinského hospitium — „noclehárna“.","1)  útulek pro pocestné spravovaný zpravidla mnichy 2) zdravotnicko-sociální zařízení pečující o]] nemocné osoby"
"house","podstatné jméno","hou-se","Odvozeno od slova husa.","1) mládě husy 2) (přeneseně) mladá nezkušená osoba"
"houser","podstatné jméno","hou-ser","Ze slovesa house + -er (přípona naznačující vykonavatele)","1) samec husy 2) bederní ústřel"
"houska","podstatné jméno","hou-s-ka","Zdrobnělina slova husa, podobně jako husička, s odkazem na jejich podobný tvar.","1) druh pečiva plochého oválného tvaru, původně pletená z]] těsta 2)  vánočka"
"houslař","podstatné jméno","hou-s-lař","Odvozeno od podstatného jména housle příponou -ař.","1) výrobce houslí nebo smyčcových nástrojů 2)  houslista"
"houstička","podstatné jméno","hou-s-tič-ka","Zdrobnělina slova houska prostřednictvím přípony -ička.","1)  houska, žemle 2)  malá houska"
"hovno","podstatné jméno","hov-no","Z hypotetického praslovanského *govьno. Další výzkum se různí:","1)  lejno; páchnoucí hmota z]] zbytků potravy 2)  (pouze sg.) nic 3)  nepřitažlivá, nehodnotná nebo nekvalitní věc 4)  (obvykle plurál) nesmysl"
"hrdlo","podstatné jméno","hr-d-lo","Všeslovanské. Polské gardło, ruské горло (gorlo), srbochorvatské гр̏ло (gȑlo). Praslovanské *gъrdlo má nejblíže k litevskému gurklŷs – vole, ohryzek (v krku), staropruskému gurcle – hrdlo, vše z indoevropského *gwr̥-tlo-, podobný útvar je řecké βάραθρον (barathron) – propast, doupě. Východiskem je indoevropské *gwer- – požírat, pohlcovat, k němuž viz žrát.","1) zadní část dutiny ústní a]] [[přední část krku 2)  život 3) útvar nebo předmět podobný hrdlu (1)"
"hrneček","podstatné jméno","hr-ne-ček","Vzniklo jako zdrobnělina slova hrnek.","1)  hrnek 2) nepřesná dutá míra (užívaná například kuchařkách)"
"hroch","podstatné jméno","hroch","Vytvořil v 1. pol. 19. století. Současní čeští etymologové váhají, zda obrozenec použil starší české roch s významem válečný slon (věž) v šachu, které přišlo přes středohornoněmčinu a středověkou francouzštinu z persko-arabského رخ (rokh), nebo použil zvukomalebné sloveso hrochati (bouchat, chrochtat). . Čeština je tak jedním z velice mála jazyků, které nepracují se starořeckým ἱπποπόταμος, doslova říční kůň, či s jeho kalkem. Srovnej francouzské roque, roc, anglické rook nebo české rošáda. Dále pak srovnej hipodrom a Mezopotámie.","1) Hippopotamus, rod velkých středoafrických sudokopytníků čeledi hrochovitých 2) hroch obojživelný, jediný žijící druh hrochů (1) 3) jedinec hrocha (1), (2)"
"hubička","podstatné jméno","hu-bič-ka","* Zdrobnělina slova huba","1)  polibek 2) zúžená část nádoby sloužící k]] [[vylévání 3)  vrchní díl saxofonu či klarinetu, který hráč drží ústech 4)  huba"
"hučet","sloveso","hu-čet","Onomatopoického původu, vychází zřejmě z citoslovce hú.","1) vydávat monotónní nízký zvuk 2)   úporně se snažit někoho přesvědčit, aby svolil"
"hudba","podstatné jméno","hud-ba","Staročeské hudba původně znamenalo „smyčcová hudba“ nebo „smyčcový hudební nástroj“. Vyskytuje se jen v češtině, slovenštině a slovinštině (slovinské gódba však nejspíš pochází z češtiny). Od praslovanského *gǫsti („hrát na hudební nástroj“, viz housti).","1) organizovaný systém zvuků podle rytmu, melodie a]] [[harmonie 2) hudební těleso, orchestr"
"humanismus","podstatné jméno","hu-ma-ni-s-mus","Slovo je odvozeno z latinského adjektiva humanus (lidský). Termín poprvé použil (roku 1808) německý filozof a teolog Friedrich Immanuel Niethammer. Ve významu historické kulturní epochy termín poprvé použil (roku 1841) německý historik a politik Karl Hagen.","1) soubor různých myšlenkových směrů, filosofií a]] týkajících se člověka, lidské svobody, důstojnosti a]] [[obecně lidskosti 2) myšlenkové hnutí období renesance (přibližně 14.-16. století), které se ze severní Itálie rozšířilo do velké části Evropy 3)  humanita"
"humno","podstatné jméno","hum-no","* Dříve se vyskytovalo ve tvaru gumno. Původ není zcela zřejmý, nejčastěji je vykládán jako složenina ze slov označujících dobytek (hovada) a mačkání či šlapání (srovnej mnout), vzhledem k původní slovanské technologii výmlatu, kdy se po obilí nechal šlapat dobytek.","1) upěchovaná půda k]] [[mlácení obilí, mlat 2) (v množ.) zadní část statku obrácená do polí 3)  pozemek, půda 4) místnost v]] sladuje ječmen"
"humus","podstatné jméno","hu-mus","Z latiny humus – půda.","1) nejúrodnější druh půdy, který vzniká rozkladem zbytků rostlin a]] organizmů) 2)  něco hnusného"
"husar","podstatné jméno","hu-sar","V češtině doloženo poprvé r. 1478, přejato z maďarštiny. Uherské jízdní vojsko husarů vytvořil r. 1459 . Maďarské označení huszár bylo převzato ze srbochorvatštiny, kde slovo husar je doloženo od 13. století a výrazy hursar, gusar, gursar, kursar mají význam „lupič, pirát“; uherské vojsko bylo snad skutečně složeno z loupežníků. Příslušná srbochorvatská slova zřejmě vznikla smíšením latinského cursarius — „námořní loupežník“, s nímž souvisí i italské corsaro tj. korsár, a řeckého chósarios — „vyzvědač, přední hlídka, pleník“. Alternativní výklad původu slova, vycházející ze složeniny maďarské číslovky húsz — „dvacet“ a koncovky -ár, je nepravděpodobný, neboť tímto způsobem se ve starší maďarštině odvozovalo pouze ze sloves.","1)  voják vycvičený k]] koni 2) druh lidového tance"
"hydra","podstatné jméno","hy-d-ra","Ze starořeckého ὕδρα (hýdra) — „vodní had“, odvozeného z ὕδωρ (hydór) — „voda“.","1) mytologický tvor tělem hada a]] [[sedmi hlavami 2)  vyšší moc se všudypřítomným negativním vlivem, proti níž je obtížné se bránit"
"hypertrofie","podstatné jméno","hy-per-tro-fie","Z uměle, v novověku vytvořeného, řeckého *ὑπερτροφία, které vychází z předpony ὑπερ- a substantiva τροφή, jež je odvozeno od slovesa τρέφειν — živit, krmit, vyživovat.","1) zvětšení buněk a]] tkáních omezenou mitotickou aktivitou) 2)  nezdravé bujení; přebujelost"
"chameleon","podstatné jméno","cha-me-le-on","Přes starofrancouzské caméléon a latinské chamaeleon odvozeno z řeckého chaméleon, složeniny slov chamé — „na zemi“, jenž má protoindoevropský kořen *dhghem- — „země“ (srovnej např. anglické chthonic) a leon — „lev“, snad s odkazem na podobnost hřebínku na hlavě některých druhů chameleonů se lví hřívou","1)  ještěr proměnlivou barvou těla čeledi chameleonovitých 2)  člověk, jenž mění postoj ve svůj prospěch podle situace"
"chameleón","podstatné jméno","cha-me-le-ón","Přes starofrancouzské caméléon a latinské chamaeleon odvozeno z řeckého chaméleon, složeniny slov chamé — „na zemi“, jenž má protoindoevropský kořen *dhghem- — „země“ (srovnej např. anglické chthonic) a leon — „lev“, snad s odkazem na podobnost hřebínku na hlavě některých druhů chameleonů se lví hřívou","1)  ještěr proměnlivou barvou těla čeledi chameleonovitých 2)  člověk, jenž mění postoj ve svůj prospěch podle situace"
"chata","podstatné jméno","cha-ta","Srovnej s polským chata, slovenským chata, ukrajinským хата, běloruským хата a ruským хата.","1) jednoduché stavení 2) menší, často dřevěná stavba pro krátkodobý (například víkendový) pobyt 3) objekt pro přechodné ubytování turistů"
"chlor","podstatné jméno","chlor","Z řeckého χλωρός – zelený.","1) chemický prvek atomovým číslem 17 2)  atom nebo molekula chloru (1)"
"Chlumec","podstatné jméno","Chlu-mec","Slovo chlumec je zřejmě zdrobnělina slova chlum, které označuje vrchol, kopec, obvykle zalesněný.","1) město v]] [[okrese Ústí nad Labem 2) vesnice v okrese Český Krumlov"
"chmelařka","podstatné jméno","chme-lař-ka","Přechýlením substantiva chmelař pomocí přípony -ka.","1) pěstitelka chmele 2) česačka chmele 3)  obchodnice s]] [[chmelem"
"chomout","podstatné jméno","cho-mout","Z praslovanského chomǫtъ.","1) část postroje tažných zvířat pro jejich zapřažení 2) břemeno poddanosti, poslušnosti"
"chroust","podstatné jméno","chroust","Označení brouka souvisí s tím, že chřestí krovkami.","1) rod brouků čeledi vrubounovitých 2)  houština, křoví 3)  klest, klestí"
"idea","podstatné jméno","idea","Z řečtiny","1) myšlenka, nápad 2) představa 3) vůdčí myšlenka"
"idiot","podstatné jméno","idiot","Přes novověké západoevropské jazyky a latinu ze starořeckého ἰδιώτης — doslova soukromník; laik, jež vychází z přídavného jména ἴδιος — zvláštní, osobní, vlastní. Hanlivého významu nabylo již v antickém Řecku - zhruba ve smyslu nevzdělanec, ignorant, který se nezajímá o život obce, nýbrž jen a pouze o věci vlastní. Srovnej idiom, idiosynkretický.","1)  člověk postižený idiocií, nejtěžším stupněm oligofrenie 2)  hloupý člověk"
"ignorace","podstatné jméno","ig-no-ra-ce","První význam, který je původní, je z latinského ignorare (nevědět, neznat). Druhý význam je novější a vznikl tak, že na slovo přešel význam verbálního substantiva ignorování od slovesa ignorovat z německého ignorieren stejného významu (čili vědomě něco nebo někoho přehlížet, opomíjet, nehlásit se k někomu, nevšímat si ho).","1)  hrubá neznalost, nevědomost; hloupost 2) vědomé přehlížení, ignorování"
"imatrikulace","podstatné jméno","ima-t-ri-ku-la-ce","Z latiny.","1) zápis do matriky 2) slavnostní akt složení akademického slibu studentů vysokých škol 3) registrační značka letadel"
"inaugurace","podstatné jméno","inau-gu-ra-ce","Z latinského inauguratio, jež původně ve starověkém Římě označovalo obřad zahajování určitého podniku, při němž věštci (auguři) předpovídali jeho úspěch pozorováním chování ptáků.","1) slavnostní uvedení objektu do provozu 2)  slavnostní uvedení osoby do funkce"
"individuální","přídavné jméno","in-di-vi-duál-ní","Odvozeno z latinského individualis, tvaru přídavného jména individuus — „nedělitelný“, vzniklého spojením předpony in- — „ne-, opak“ a dividuus „dělitelný“, jež vyšlo ze slovesa dividere — „dělit, rozdělit“, obsahujícího předponu dis- „od sebe“ a sloveso videre „oddělit“. To obsahuje protoindoevropský kořen *weidh- — „oddělit, oddělovat“, srovnej např. s anglickým widow.","1) vztahující se jedinci 2) charakteristický pro jednu entitu"
"inkoust","podstatné jméno","in-koust","Vzniklo přes latinské stejného významu z řeckého substantiva enkauston původně označujícího tekutinu, používanou při malbách pořizovaných vpalováním; sloveso enkaió znamené „vpaluji“. Později se význam přenesl na purpurovou šťávu, jíž používali k podpisování římští a byzanští císaři, posléze označení zobecnělo pro všechny psací tekutiny.","1) barevná tekutina používaná k]] [[psaní, rýsování apod. 2) tmavá tekutina, kterou vypouští v]] někteří hlavonožci"
"inkubátor","podstatné jméno","in-ku-bá-tor","Ze slova inkubace.","1) líheň 2) zařízení imitující prostředí dělohy pro nedonošené novorozence"
"instrument","podstatné jméno","in-stru-ment","Z latinského instrumentum.","1) nástroj (lékařský, hudební apod.) 2) prostředek"
"integrace","podstatné jméno","in-te-gra-ce","Odvozeno z latinského integer — „celý, úplný“, přeneseně „neposkvrněný, čestný“, doslova „nedotčený“; jedná se o složeninu předpony in- „ne-“ a kořen slovesa tangere, „dotýkat se“, z protoindoevropského kořene *tag- „dotknout se; udeřit“.","1) slučování částí v]] [[celek 2)  výpočet integrálu"
"integrita","podstatné jméno","in-te-gri-ta","Odvozeno z latinského integer — „celý, úplný“, přeneseně „neposkvrněný, čestný“, doslova „nedotčený“; jedná se o složeninu předpony in- „ne-“ a kořen slovesa tangere, „dotýkat se“, z protoindoevropského kořene *tag- „dotknout se; udeřit“.","1) stav, kdy celek je úplný 2)  zásadovost; konání podle principů; soulad tím, co určitá osoba říká, a]] koná 3) nedotknutelnost"
"Izrael","podstatné jméno","Iz-rael","Od osobního jména Izrael.","1) biblický patriarcha 2) mužské rodné jméno 3)  národ tvořený dvanácti kmeny 4)  Žid"
"jahoda","podstatné jméno","ja-ho-da","Z praslovanského *аgа, *аgоdа.","1) jahodník 2) plod jahodníku"
"jahůdka","podstatné jméno","ja-hůd-ka","Zdrobnělina substantiva jahoda pomocí přípony -ka.","1)  jahoda 2)  mladá svěží dívka 3) věc, která tvarem připomíná malou jahodu"
"Jana","podstatné jméno","Ja-na","Význam [1]: Přejato z německého Johana (staročesky Johanka), to z latinského Iōhannēs, z řeckého Ἰωάννης (Iōannēs). Původ je hebrejský s výkladem Bůh je milostivý; milostivý dar boží; daný bohem. Z hebrejského יוֹחָנָ (Jochánán: Jahve = Bůh, chánan = sklonil se, smiloval se). Mužská varianta jména je Jan.","1) ženské křestní jméno 2) řeka Rusku vznikající soutokem řek Dulgalach a]] Janského zálivu moře Laptěvů"
"jazyk","podstatné jméno","ja-zyk","Z praslovanského *(*j)*ęzykъ, z indoevropského *dn̥ǵʰwéh₂s (oba významu jazyk [2]).","1) soustava slov pravidel jejich používání charakteristická pro určitou skupinu lidí 2) svalový orgán, který se nachází v]] dutině 3) mořská ryba čeledi jazykovitých; 4) část boty kryjící horní část svršku 5) pohyblivá kolejnice výhybky 6) objekt tvaru jazyka (2) 7)  soustava pravidel pro zápis počítačových algoritmů 8)  národ 9)  mučením vyslýchaný zajatec, sloužící k]] informací o]] [[nepříteli (běžné např. u Sienkiewicze)"
"jednorázový","přídavné jméno","jed-no-rá-zo-vý","Složenina odvozená od číslovky jeden a substantiva ráz.","1) jedenkrát uskutečněný 2) určený na jedno použití"
"jednotka","podstatné jméno","jed-not-ka","Odvozeno ze slova jeden, k němuž lze najít ekvivalenty ve všech slovanských jazycích. Praslovanské *edinъ, *edьnъ je pokládáno za složené z *ed- (ukazovací či zdůrazňovací zájmeno) a *inъ (z něhož se vyvinulo slovo jiný). Praslovanské slovo vychází z indoevropského *einos/oinos („jeden“)","1) jednička; číslo nebo číslice 1 2) měřítko umožňující vyjádření hodnoty měřené veličiny 3) základní organizační složka"
"jedový","přídavné jméno","je-do-vý","Ze substantiva jed a přípony -ový.","1) související s]] [[jedem 2)  jedovatý, jízlivý"
"Jidáš","podstatné jméno","Ji-dáš","Jidáš je počeštělá verze starozákonního židovského jména Juda (též Jehuda, יהודה, znamenající chvála Bohu či chvalme Boha).","1) biblická postava, apoštol, který zradil Ježíše 2) zrádce, zaprodanec 3) jméno čerta či zlého démona v]] tradicích"
"Jihlava","podstatné jméno","Jih-la-va","Královské horní město vzniklo v letech 1233–1243 nedaleko původní menší osady, od níž převzalo jméno. Nejstarší doložené názvy jsou latinské a německé (Giglawa — 1234, Yglaua — 1238, Iglavia — 1249). Česká podoba se soustavněji vyskytuje od poloviny 15. století (Gighlawa, Jihlava). Jak původní starší ves, tak město bylo pojmenováno podle řeky tečící pod ostrohem, na němž nachází. Pojmenování sídla podle řeky není v českém prostředí ojedinělé, srovnej třeba Ostrava nebo Svitavy. Ke kořenu je připojena přípona -ava. Název řeky Jihlavy doložen z 1. poloviny 13. století (Giglaue — 1226, Ihlaua — 1227). Etymologicky je však patrně starší, ještě předslovanský, a souvisí s tím, že její dno bylo kamenité a ostré jako bodliny ježka (německé Igel znamená ježek). Podle jiného výkladu (českého) jde o „řeku tekoucí v jehličí, nesoucí jehličí“ (dnešní jehla bylo ve staré češtině jihla). Obě pojetí jsou však provázaná a nelze je od sebe odlišit (srovnej německá říční jména Igla, Jegla, Jehla).","1) město Kraji Vysočina 2) řeka Česku protékající Jihlavou (1)"
"jinak","příslovce","ji-nak","Ekvivalenty lze najít ve všech slovanských jazycích, odvozeno z praslovanského * inъ („jiný, některý“), které vzešlo z indoevropského *einos/*oinos („jeden“).","1) odlišným způsobem 2) z]] hledisek"
"jiskra","podstatné jméno","jis-kra","Všeslovanské, z praslovanského *jьskra. Srovnej např. bulharské a ruské искра téhož významu.","1) drobná žhavá částečka hmoty, odletující např. ohně 2) malý elektrický výboj"
"Jizera","podstatné jméno","Ji-ze-ra","Keltského původu (z 5. až 3. století před Kristem) s významem „prudká, prudce se pohybující“. Etymologicky příbuzné jsou názvy řek Isère ve Francii, Éire v Irsku, Isar v Bavorsku a Yser v Belgii.","1) řeka Čechách, přítok Labe 2) hora Jizerských horách"
"jméno","podstatné jméno","jmé-no","Přes praslovanské substantivum *jьmę – jméno, z protoindoevropského substantiva *h₁nḗh₃mn̥ – jméno.","1) označení člověka, zvířete nebo věci 2) jednoslovné označení člověka; křestní jméno 3)  skloňovaný druh slov 4) pověst, reputace"
"junior","podstatné jméno","ju-nior","Původem z latiny, kde je toto slovo komparativem adjektiva juvenis – mladý, tj. junior = mladší.","1) mladší ze dvou osob téhož jména nebo profese 2)  závodník ve specifické věkové kategorii"
"kabala","podstatné jméno","ka-ba-la","Odvozeno z kořene ק-ב-ל, resp. ze slova kibel (inf. le-kabel), které znamená „přijmout“.","1) židovské mystické učení 2)  tajné intriky"
"kabriolet","podstatné jméno","ka-b-rio-let","Převzato z francouzského cabriolet.","1)  dvoukolový vozík tažený koňmi 2) typ automobilu se skládací střechou"
"kabřinec","podstatné jméno","ka-bři-nec","Z latinského cabrio, příbuzné s francouzským chevron.","1) půloválná stříška nad štítem budovy 2) druh obkladaček vypalovaných při vysoké teplotě"
"kacíř","podstatné jméno","ka-cíř","Náboženská hereze byla v přímém časovém kontaktu s ideologickými hnutími vždy a všude, tedy i před počátkem našeho kalendáře. Cathar – odpadlík od pravé, oficiální, byť starofrancouzské, dá-li se to tak říct, církve, dokonalý ve své víře, na jihu Francie v hranicích bývalé Septimánie, do zhruba konce 12. století. Slovo kacíř bez ohledu na obsahovou stránku má ryze český charakter výskytem souhlásky „ř“. Soužití s německým etnikem po dlouhá staletí v našem prostředí naučilo počešťovat ta německá slova, pro která neměla čeština svůj název. Reformační hnutí v celé Evropě, u nás zejména v 15. století, bylo plné výrazů „kacíř“. U nás pak zejména ve spojení s Janem Husem a následující dobou. (Václav Hájek z Hájku, doprovázející a popisující pohyb Jana Husa v Kostnici, toto slovo používá nicméně v jiném tvaru. Husova De ortografia bohemica nebyla tehdy ještě obecně přijata.)","1) historický výraz pro osobu s]] katolické církve 2)  osoba jiného smýšlení, než toho obecně uznávaného"
"kalendář","podstatné jméno","ka-len-dář","Odvozeno z latinského calendarium, to pak vychází ze základu slova Calendae označujícího první den v měsíci; toto označení je řeckého původu s významem „den, na nějž je vyhlášeno novoluní“.","1) systém dělení času 2) písemný záznam označení dnů podle kalendáře (1) 3) lidové čtení"
